binary,workload,seconds,rss_bytes
baseline,small_files,0.09063483300002417,19873792
candidate,small_files,0.01961466699998482,17530880
baseline,mixed_heavy_tail,0.08013674999995146,20840448
candidate,mixed_heavy_tail,0.0353884579999999,18694144
baseline,sensitive_dense,0.04171420800003034,19808256
candidate,sensitive_dense,0.024441167000020414,17973248
baseline,duplicate_logs,0.025839040999983354,20856832
candidate,duplicate_logs,0.016873999999972966,18628608
baseline,wide_deep,0.028697707999981503,22003712
candidate,wide_deep,0.019931499999984226,19218432
baseline,bounded_content,0.15025470899996662,21381120
candidate,bounded_content,0.07025649999997086,19169280
