binary,workload,seconds,rss_bytes
baseline,small_files,0.2974786669947207,23969792
candidate,small_files,0.17571495892480016,23085056
baseline,mixed_heavy_tail,0.030272208037786186,23281664
candidate,mixed_heavy_tail,0.030555875040590763,23166976
baseline,sensitive_dense,0.01641658297739923,21692416
candidate,sensitive_dense,0.01923129102215171,22364160
baseline,duplicate_logs,0.01619383308570832,23707648
candidate,duplicate_logs,0.015669915941543877,23429120
baseline,wide_deep,0.022574624978005886,25788416
candidate,wide_deep,0.022495124954730272,25296896
baseline,bounded_content,0.04984745802357793,23281664
candidate,bounded_content,0.05021779192611575,23527424
