binary,workload,seconds,rss_bytes
baseline,small_files,0.05392187500001455,19988480
candidate,small_files,0.028955832999940867,17448960
baseline,mixed_heavy_tail,0.09835516600003302,21512192
candidate,mixed_heavy_tail,0.0501987499999359,19546112
baseline,sensitive_dense,0.03825912500008144,19873792
candidate,sensitive_dense,0.021677749999980733,18268160
baseline,duplicate_logs,0.030155583000009756,20889600
candidate,duplicate_logs,0.01941691699994408,18284544
baseline,wide_deep,0.041584542000009606,22380544
candidate,wide_deep,0.0308827089999113,19431424
baseline,bounded_content,0.19581929200001014,21364736
candidate,bounded_content,0.08949329200004286,19677184
