binary,workload,seconds,rss_bytes
baseline,small_files,0.027792333043180406,26378240
candidate,small_files,0.02021512493956834,23396352
baseline,mixed_heavy_tail,0.05677287501748651,25886720
candidate,mixed_heavy_tail,0.029412333038635552,23478272
baseline,sensitive_dense,0.023223042022436857,24035328
candidate,sensitive_dense,0.01678879209794104,22675456
baseline,duplicate_logs,0.024231958901509643,25559040
candidate,duplicate_logs,0.01585970795713365,23592960
baseline,wide_deep,0.027391124982386827,28164096
candidate,wide_deep,0.021297707920894027,25804800
baseline,bounded_content,0.10022866702638566,25427968
candidate,bounded_content,0.04959258402232081,23609344
