binary,workload,seconds,rss_bytes
baseline,small_files,0.38871212501544505,25264128
candidate,small_files,0.01865345798432827,23822336
baseline,mixed_heavy_tail,0.057429749984294176,25804800
candidate,mixed_heavy_tail,0.03217424999456853,23511040
baseline,sensitive_dense,0.023751624976284802,25427968
candidate,sensitive_dense,0.016243499936535954,23068672
baseline,duplicate_logs,0.023834082996472716,25280512
candidate,duplicate_logs,0.015195584041066468,23560192
baseline,wide_deep,0.028834666940383613,27230208
candidate,wide_deep,0.023760208976455033,26329088
baseline,bounded_content,0.10166733292862773,25657344
candidate,bounded_content,0.05127687496133149,23724032
